CHROM_POS	1048_F.freq	1048_G.freq	1048_H.freq	1048_I.freq	1048_J.freq	1115_A_fixed.freq	1115_B_fixed.freq	1115_C.freq	1586_B.freq	1586_C.freq	1586_D.freq	1586_E.freq	1586_F.freq	1586_G.freq	1586_I.freq	1586_J.freq	1586_K.freq	1586_N.freq	1586_O.freq	1586_P.freq	1586_Q.freq	1586_R.freq	1586_S.freq	1600_F.freq	1600_G.freq	1600_H.freq	1600_I.freq	1600_J.freq	2065_A.freq	2065_B.freq	2065_C.freq	2424_E.freq	2424_N.freq	2487_A.freq	2487_B.freq	2487_C.freq	2487_D.freq	2487_E.freq	2487_F.freq	3386_A.freq	3386_AB.freq	3386_AD.freq	3386_AE.freq	3386_AG.freq	3386_AH.freq	3386_AI.freq	3386_AJ.freq	3386_AK.freq	3386_AL.freq	3386_C.freq	3386_D.freq	3386_E.freq	3386_F.freq	3386_G.freq	3386_H.freq	3386_I.freq	3386_J.freq	3386_M.freq	3386_N.freq	3386_O.freq	3386_S.freq	3386_T.freq	3386_U.freq	3386_W.freq	3386_X.freq	3386_Y.freq	3386_Z.freq	3722_CJ.freq	3722_CL.freq	3722_CM.freq	3722_CN.freq	3722_CO.freq	3722_CP.freq
hypothetical_protein1_93	-	-	-	-	0.71875	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_307	-	-	0.73	-	-	-	-	-	-	-	-	-	-	-	-	-	0.781864	0.836364	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_3096	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.918182	-	-	-	-	-	-	0.01	0.2245	-	-	-	-	-	0.01	-	0.01	-	-	-	-	-	-	-	-	-	0.114211	-	-	0.01	-	-	-	-	-	-
hypothetical_protein19_3159	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.218421	-	-	-	-	-	-	-	-	-
hypothetical_protein19_3160	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.218421	-	-	-	-	-	-	-	-	-
hypothetical_protein19_3168	0.4225	0.653846	-	-	0.619231	-	-	-	-	-	0.825294	-	0.5725	-	0.777944	0.813208	0.7624	0.592353	0.768298	0.7	0.88	0.82973	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.2575	-	-	-	-	-	-	-	-	-
hypothetical_protein19_3246	-	-	-	-	-	0.0308421	0.04	0.127237	-	-	-	-	-	0.8875	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	0.01	0.0571429	-	-	0.01	0.01	0.01	0.0671154	0.01	0.0247761	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	0.01	0.01	0.01	0.01	0.020102
hypothetical_protein19_3291	-	-	-	-	-	0.220375	0.225217	0.55	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0948571	0.0330233	0.124231	-	-	0.0861538	0.162308	0.0488235	-	0.292857	0.367049	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0838806	0.20209	0.140755	0.151429	0.0485714	0.0734615
hypothetical_protein19_33	-	-	-	-	-	-	0.76	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.8875	-	0.8875	0.788235	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_3320	0.395	-	0.475	-	0.653846	-	-	-	0.593846	0.913699	0.759189	0.830286	0.621471	-	0.575714	0.7075	-	-	0.738491	0.73871	0.865	0.883871	0.775	0.624483	-	0.514706	0.67	0.505	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_3340	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.815385	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_3388	-	-	-	-	-	0.0986567	0.128209	0.415738	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05125	-	-	-	-	-	0.118	0.01	0.317241	0.33431	0.300172	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.1	-	-	-	-
hypothetical_protein19_3419	0.292857	-	-	0.723077	-	-	0.0414286	0.01	0.428846	-	0.685	0.808947	0.604	-	0.696939	0.836364	0.63413	0.349429	0.52975	0.7	0.856	0.802439	0.739474	0.676	-	0.544286	0.767059	0.570377	-	-	-	-	-	-	-	-	-	0.01	0.01	-	-	0.01	0.01	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_3429	-	-	-	-	-	-	0.116615	0.321918	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.145	-	0.290746	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_3447	-	-	-	0.82	-	-	-	-	-	-	-	-	-	-	-	-	0.84717	0.746154	-	-	-	0.9	0.807143	0.726087	-	0.526522	-	0.619231	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.770179	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_3456	-	-	-	-	-	-	-	0.938356	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_3469	-	-	-	-	-	-	0.027069	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	0.01	-	-	-	0.01	0.01	0.01	0.01	0.01	0.01	-	-	-	0.01	0.0885714	-	0.25	-	-	0.01	0.01	-	-	0.043	0.01	-	-	-	-	-	0.01	-	0.0595	-	-	0.145	-	-	-	0.0259677	-	-	-	-
hypothetical_protein19_3476	-	-	-	-	-	0.685714	0.707869	0.839125	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.892537	-	-	0.767969	0.592353	0.67825	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_3581	-	-	-	-	-	-	0.0530435	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	0.01	0.01	0.01	0.0391176	-	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0453571	0.225217	0.0861538	0.01	0.01	0.01	0.01	0.01	0.01	0.01	-	0.01	0.01	0.01	0.0283333	-	0.01	0.0382857	0.01	0.01	0.114211	0.01	0.01	-	0.01	0.01	-	0.01	-
hypothetical_protein19_3685	-	-	-	-	-	0.01	0.0265	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	0.01	0.055	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0466667	0.01	0.217209	0.1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0630357	0.01	0.01	0.07	-	0.01	0.08425	0.01	0.01	-	-	0.01	-	0.01	0.01
hypothetical_protein19_3700	0.629412	0.417647	-	-	-	-	-	-	0.535	-	0.821475	0.864151	0.518378	-	0.688857	0.798333	0.684043	0.73439	0.88	0.8	0.834211	0.857895	0.836364	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_3720	-	-	-	-	-	0.01	0.0259677	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0419355	0.03475	0.219423	0.071875	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0671154	0.01	0.01	0.01	0.01	0.01	0.13375	0.01	0.01	0.0239437	0.01	0.01	0.0414286	0.01	0.01
hypothetical_protein19_3773	-	-	-	-	-	0.813	0.881967	0.708824	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.85	0.796575	0.767969	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_39	-	-	-	-	-	-	0.735294	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.9	-	0.85	0.810526	-	-	-	-	-	-	-	0.37	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_3918	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	0.01	0.01	-	0.01	-	-	-	0.01	0.01	0.110678	0.01	0.285902	-	-	-	-	0.01	0.01	0.0382857	0.01	0.01	0.01	-	-	-	-	-	-	0.01	0.01	0.109	-	-	-	-	-	-	-	-
hypothetical_protein19_3929	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.281452	-	-	-	-	-	-	0.0382857	-	-	-	-	-	-	-	-	0.12	0.01	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_3948	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.308571	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_396	-	-	-	-	-	0.0325	0.0560465	0.0496	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	0.01	0.0315217	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0621053	0.01	0.01	0.0607692	0.0409375	-	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0881579	0.01	0.01	-	0.01	0.01	0.0621053	0.01	0.01	0.01	0.028	0.01	0.0325	0.01	0.01
hypothetical_protein19_3975	-	-	0.76	0.7	-	-	-	-	-	-	-	-	-	-	0.773714	0.895349	0.690625	0.732432	-	0.906897	0.875	0.803125	0.78	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_3989	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.863636	-	-	0.854054	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_3997	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.345323	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_4020	-	-	-	0.892	0.85	-	-	-	-	0.863043	0.770435	0.894118	-	0.355349	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_4051	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.373418	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_4053	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.378077	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_4086	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.6625	-	0.585581	0.573276	0.562115	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.661646	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_411	-	-	-	-	-	0.761765	0.764286	0.677174	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	0.834211	0.748	0.795455	0.01	0.076	0.01	0.01	0.0382857	0.0419355	0.4852	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.01	0.0441379	0.01	0.102813	0.01	0.01	-	0.01	0.01	0.0682353	0.01	0.01	-	-	-	-	-	-
hypothetical_protein19_4117	-	-	-	-	-	0.214286	0.321918	0.440941	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.113433	-	0.2905	0.345593	0.410714	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.497612	-
hypothetical_protein19_4135	-	-	-	-	-	0.162308	0.308356	0.43593	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.046	0.060339	-	-	-	0.0925	0.121549	0.0908163	0.28	0.34	0.3675	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.4775	-
hypothetical_protein19_4203	-	-	-	-	-	-	-	-	-	0.805882	0.80791	0.896154	-	0.314615	-	0.699464	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_4218	-	-	-	-	-	0.01	0.01	0.0386957	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	0.01	0.046	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0595	0.01	0.34	0.0453571	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.096087	0.01	0.01	0.0391176	0.01	0.01	0.0973529	0.01	0.01	0.01	0.0530435	0.01	0.025	0.01	0.01
hypothetical_protein19_4222	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.878378	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_4258	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.826923	-	-	-	0.5248	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_4261	-	-	-	-	-	-	-	-	-	-	0.916667	-	-	-	-	-	-	-	0.905263	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_4265	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.208	0.01	-	-	-	-	-	-	0.01	0.0582927	0.0315217	0.0861538	0.3895	0.106585	0.23	0.0908163	0.01	0.076	0.0902703	-	0.102813	0.0621053	0.109	0.16	0.01	0.01	0.242941	0.406	0.01	0.01	0.244474	0.04	0.01	0.0948571	0.0330233	0.1486	-	-	-	-	-	-
hypothetical_protein19_4268	-	-	-	-	-	0.213824	0.226	0.34	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0657746	0.0247761	0.0453571	-	-	0.172	0.0521277	0.164687	0.371731	0.34	0.3895	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0341463	0.132055	0.0751316	0.142985	0.3268	-
hypothetical_protein19_427	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.88	-	-	-
hypothetical_protein19_4275	-	-	-	-	-	0.907353	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_4281	-	-	-	-	-	-	-	-	-	-	0.918182	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_4283	-	-	-	-	-	0.775	0.769	0.660571	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	0.01	0.85	-	-	0.631176	0.682692	0.64	0.0375	0.01	0.0330233	0.01	0.082	0.01	0.298	0.0571429	0.01	0.01	0.01	0.01	0.01	0.0375	0.01	0.01	0.01	0.01	0.0404615	0.175	0.01	0.0298	0.0353846	0.01	0.01	0.0635135	0.01	0.01	-	0.913699	-	0.875385	0.678919	-
hypothetical_protein19_4373	-	-	-	-	-	0.01	0.01	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0325	0.01	0.302817	0.0283333	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0245588	0.104286	0.01	0.01	0.200385	0.01	0.0441379	0.01	0.01	0.01	0.0241429	0.01	0.01	0.0235616	0.01	0.01
hypothetical_protein19_4396	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.8875	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_4488	-	-	-	-	-	0.01	0.01	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0375	0.263846	0.0473585	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.071875	0.01	0.01	0.130732	0.01	0.01	0.01	0.01	0.01	0.060339	0.01	0.01	0.0217857	0.0106058	0.01
hypothetical_protein19_451	-	-	-	-	-	-	0.0595	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	0.01	-	-	0.01	0.01	0.01	-	0.01	0.1	-	-	0.1	0.1	-	-	-	-	0.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.1	0.01	0.01	-
hypothetical_protein19_4529	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.822687	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_4530	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.276538	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_4558	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.915625	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_4591	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.810526	0.604	0.789362	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_4597	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.1	0.01	-	0.1	-	-	0.01	0.1	-	0.01	0.01	0.01	0.01	-	-	0.0453571	-	0.416154	0.01	0.1	0.01	0.01	-	-	0.46375	-	-	-	-	-	0.906897	-	-	0.01	0.01	-	0.19	-	-	-	-	0.01	-	-	0.01
hypothetical_protein19_4611	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.1	0.01	-	-	-	-	0.01	0.1	-	0.01	-	-	0.01	-	-	-	-	0.543077	-	-	-	0.1	-	-	0.528571	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_4629	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.1	0.1	-	-	-	-	0.1	0.1	-	-	-	-	-	-	-	-	-	-	-	-	-	0.1	-	-	-	-	-	-	-	-	-	-	-	-	0.1	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_4632	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.1	0.1	-	-	-	-	0.1	0.1	-	-	-	-	-	-	-	-	-	0.85	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_4643	0.55	0.625	0.625	0.83125	-	-	-	-	0.434286	-	0.791579	-	0.615	-	0.826081	0.892	0.759571	0.688462	0.802	0.805405	0.871429	0.877273	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_4652	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.919643	-	0.918182	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_4659	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.921739	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_474	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_4757	-	-	0.841176	-	-	-	-	-	-	-	-	-	-	-	-	0.9	-	0.742857	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_4758	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.104286	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_4780	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0782759	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_4781	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.076	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hypothetical_protein19_4819	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.175	0.0892	0.304324	0.322632	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	0.01	-	0.01	0.281765	-	-	0.01	-	0.01	0.01	0.0409375	0.01	0.01	0.01	0.01	-	-	0.01	0.01	0.0466667	-	-	0.01	-	-	-	-	-	-	-	-
hypothetical_protein19_4862	-	-	-	0.82	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
